retweet_count,favorite_count,verified,botScore,Number of caps ratio,Number of Exclamations,Fake or Not
10,4,0,0.62,0.16494845360824742,0,0
24,4,0,0.62,0.11023622047244094,0,0
15,2,0,0.62,0.16483516483516483,0,0
14,4,0,0.62,0.189873417721519,0,0
10,1,0,0.62,0.12844036697247707,0,0
78,24,0,0.62,0.1326530612244898,0,0
15,8,0,0.62,0.12931034482758622,0,0
7,4,0,0.62,0.19696969696969696,0,0
11,5,0,0.62,0.16483516483516483,0,0
20,7,0,0.62,0.12931034482758622,0,0
23,4,0,0.62,0.16363636363636364,0,0
58,19,0,0.62,0.14432989690721648,0,0
31,7,0,0.62,0.14814814814814814,0,0
19,1,0,0.62,0.0990990990990991,0,0
23,4,0,0.62,0.10810810810810811,0,0
32,0,0,0.62,0.09411764705882353,0,0
32,5,0,0.62,0.13829787234042554,0,0
23,1,0,0.62,0.10619469026548672,0,0
32,7,0,0.62,0.13402061855670103,0,0
14,1,0,0.62,0.1111111111111111,0,0
48,10,0,0.62,0.09917355371900827,0,0
17,3,0,0.62,0.14563106796116504,0,0
45,3,0,0.62,0.125,0,0
26,3,0,0.62,0.1348314606741573,0,0
21,2,0,0.62,0.10344827586206896,0,0
42,2,0,0.62,0.18518518518518517,0,0
5,2,0,0.62,0.14432989690721648,0,0
29,7,0,0.62,0.1320754716981132,0,0
25,8,0,0.62,0.17708333333333334,0,0
49,9,0,0.62,0.17592592592592593,0,0
7,2,0,0.62,0.14563106796116504,0,0
19,6,0,0.62,0.09821428571428571,0,0
64,9,0,0.62,0.09375,0,0
15,1,0,0.62,0.11194029850746269,0,0
18,6,0,0.62,0.14634146341463414,0,0
20,6,0,0.62,0.1875,0,0
16,4,0,0.62,0.15,0,0
18,8,0,0.62,0.1320754716981132,0,0
13,4,0,0.62,0.14150943396226415,0,0
15,2,0,0.62,0.11428571428571428,0,0
9,2,0,0.62,0.10810810810810811,0,0
13,7,0,0.62,0.1308411214953271,0,0
8,2,0,0.62,0.11382113821138211,0,0
23,5,0,0.62,0.11320754716981132,0,0
17,2,0,0.62,0.12149532710280374,0,0
6,1,0,0.62,0.09774436090225563,0,0
24,8,0,0.62,0.1271186440677966,0,0
8,9,0,0.62,0.10317460317460317,0,0
23,3,0,0.62,0.16831683168316833,0,0
3,0,0,0.62,0.19767441860465115,0,0
13,1,0,0.62,0.14545454545454545,0,0
4,1,0,0.62,0.12727272727272726,0,0
26,6,0,0.62,0.12195121951219512,0,0
11,2,0,0.62,0.16981132075471697,0,0
13,0,0,0.62,0.10743801652892562,0,0
28,4,0,0.62,0.15447154471544716,0,0
9,2,0,0.62,0.19101123595505617,1,0
17,3,0,0.62,0.1728395061728395,1,0
30,7,0,0.62,0.11711711711711711,0,0
6,3,0,0.62,0.17,0,0
38,10,0,0.62,0.10714285714285714,0,0
5,0,0,0.62,0.11382113821138211,0,0
24,4,0,0.62,0.14,0,0
22,3,0,0.62,0.125,0,0
9,0,0,0.62,0.03571428571428571,0,0
23,1,0,0.62,0.13513513513513514,0,0
6,0,0,0.62,0.10714285714285714,0,0
36,13,0,0.62,0.2545454545454545,1,0
18,2,0,0.62,0.10619469026548672,0,0
28,1,0,0.62,0.09448818897637795,0,0
7,0,0,0.62,0.12962962962962962,0,0
12,0,0,0.62,0.1276595744680851,0,0
33,6,0,0.62,0.16853932584269662,0,0
31,3,0,0.62,0.09345794392523364,0,0
104,21,0,0.62,0.13761467889908258,0,0
7,6,0,0.62,0.12096774193548387,0,0
17,2,0,0.62,0.125,0,0
6,0,0,0.62,0.1320754716981132,0,0
12,2,0,0.62,0.12173913043478261,0,0
8,1,0,0.62,0.109375,1,0
23,0,0,0.62,0.16071428571428573,0,0
14,2,0,0.62,0.12295081967213115,0,0
12,2,0,0.62,0.1346153846153846,0,0
34,4,0,0.62,0.13636363636363635,0,0
17,3,0,0.62,0.11570247933884298,0,0
2,0,0,0.62,0.13541666666666666,0,0
51,12,0,0.62,0.13043478260869565,0,0
1,0,0,0.62,0.25,0,0
24,3,0,0.62,0.125,1,0
16,2,0,0.62,0.11363636363636363,0,0
17,5,0,0.62,0.14130434782608695,0,0
7,1,0,0.62,0.11926605504587157,0,0
4,1,0,0.62,0.11578947368421053,0,0
11,0,0,0.62,0.2391304347826087,0,0
6,3,0,0.62,0.12844036697247707,0,0
2,0,0,0.62,0.13793103448275862,0,0
